Datetime,P_mm_per_h,PET_mm_per_h,T_C
2020-01-01 00:00:00,0.0,0.022000702235897947,-7.218475899504067
2020-01-01 01:00:00,0.0,0.021698563625046532,-4.868999849976314
2020-01-01 02:00:00,0.0,0.018109375483660223,-5.134267255464932
2020-01-01 03:00:00,0.12649162204896477,0.0,-5.247735142800153
2020-01-01 04:00:00,0.37947486614689435,0.0,-5.939088669391644
2020-01-01 05:00:00,0.12649162204896477,0.0,-2.008287755904728
2020-01-01 06:00:00,0.1413420517863673,0.06602307752059021,-2.7569313691419692
2020-01-01 07:00:00,0.4240261553591019,0.02837918836653818,-0.9537686935238767
2020-01-01 08:00:00,0.1413420517863673,0.0786120262177003,0.20455882812641257
2020-01-01 09:00:00,0.0,0.10830102858252807,0.41621963561998515
2020-01-01 10:00:00,0.13617646504497555,0.09401632507499179,0.4027611037527416
2020-01-01 11:00:00,0.4085293951349266,0.14069052154037573,1.5593267184667476
2020-01-01 12:00:00,0.13617646504497555,0.13836062921664782,1.5227354072443449
2020-01-01 13:00:00,0.0,0.1447166282165075,1.4995668736757042
2020-01-01 14:00:00,0.0,0.15101577196901872,-1.0507267658151205
2020-01-01 15:00:00,0.0,0.11474181818329388,-0.26834237952506484
2020-01-01 16:00:00,0.0,0.08203743823009632,-1.174538982579191
2020-01-01 17:00:00,0.0,0.03208255915248605,1.715245877247292
2020-01-01 18:00:00,0.0,0.0,-2.661849249991363
2020-01-01 19:00:00,0.0,0.0,-1.5162157144191266
2020-01-01 20:00:00,0.0,0.0219379364609083,-5.178329238630305
2020-01-01 21:00:00,0.0,0.01568705329471305,-4.518115827644086
2020-01-01 22:00:00,0.0,0.0,-6.028034988885165
2020-01-01 23:00:00,0.0,0.0,-4.702057053306688
2020-01-02 00:00:00,0.0,0.001879786199682844,-3.1776426186930617
2020-01-02 01:00:00,0.0,0.03672889142665266,-5.780492134285106
2020-01-02 02:00:00,0.0,0.006067284335781139,-3.799527558121547
2020-01-02 03:00:00,0.0,0.017964298170533268,-3.337893551016892
2020-01-02 04:00:00,0.0,0.0,-2.850715229557691
2020-01-02 05:00:00,0.0,0.04266623649633229,-2.993747398699611
2020-01-02 06:00:00,0.0,0.02320517757189092,-2.1461116600537267
2020-01-02 07:00:00,0.0,0.07833112068944793,-1.0787759182442362
2020-01-02 08:00:00,0.0,0.06254345829094082,-0.28387616058617976
2020-01-02 09:00:00,0.0,0.06917848813853657,0.2869316539885125
2020-01-02 10:00:00,0.0,0.07732739171834747,1.3860777447545916
2020-01-02 11:00:00,0.0,0.11820482876651027,0.7803597017140028
2020-01-02 12:00:00,0.0,0.14165552297411185,1.5556946744536684
2020-01-02 13:00:00,0.0,0.09286203766088315,1.2111351929541074
2020-01-02 14:00:00,0.0,0.13040687456297997,-0.5146704951678818
2020-01-02 15:00:00,0.0,0.09852245397955703,-0.7853915224994981
2020-01-02 16:00:00,0.0,0.08807026691057958,0.07635995240194371
2020-01-02 17:00:00,0.0,0.06942536345165456,-0.7301242825169046
2020-01-02 18:00:00,0.0,0.010880775809892695,-0.9085949647463203
2020-01-02 19:00:00,0.0,0.0,-5.00242943558627
2020-01-02 20:00:00,0.0,0.0,-2.8772743634069604
2020-01-02 21:00:00,0.0,0.0314429984702245,-6.524802244487233
2020-01-02 22:00:00,0.0,0.0,-4.645268834349025
2020-01-02 23:00:00,0.0,0.021242636575460307,-7.369401698329295
2020-01-03 00:00:00,0.0,0.0,-3.6329431386236726
2020-01-03 01:00:00,0.0,0.0,-5.737811948754653
2020-01-03 02:00:00,0.0,0.00024893805127797246,-2.404725181202295
2020-01-03 03:00:00,0.0,0.02197223375407996,-3.8923446036861384
2020-01-03 04:00:00,0.0,0.0,-2.637941893545293
2020-01-03 05:00:00,0.0,0.017600113926876198,-2.1841787773099606
2020-01-03 06:00:00,0.0,0.005497143230986697,-0.18363964763064256
2020-01-03 07:00:00,0.0,0.02741913042240932,-1.2344063068295414
2020-01-03 08:00:00,0.0,0.0606397459238913,-1.622940136664113
2020-01-03 09:00:00,0.0,0.13182383392274566,-1.045786863040459
2020-01-03 10:00:00,0.0,0.08767523604099607,-0.3003230882719482
2020-01-03 11:00:00,0.0,0.08294158379449204,0.9692024866113554
2020-01-03 12:00:00,0.0,0.11031608605560363,1.3694097019814433
2020-01-03 13:00:00,0.16016101122844592,0.15652991233911254,0.6571073959885532
2020-01-03 14:00:00,0.4804830336853377,0.11674647729010254,0.7720857383261008
2020-01-03 15:00:00,0.16016101122844592,0.08403728274842583,1.6930646369557796
2020-01-03 16:00:00,0.0,0.06471085809868156,-2.2500505614297297
2020-01-03 17:00:00,0.0,0.04712488417113221,-1.7561829048008304
2020-01-03 18:00:00,0.0,0.0,-0.9549658269583021
2020-01-03 19:00:00,0.0,0.011954322825617649,-3.823743042430346
2020-01-03 20:00:00,0.0,0.0,-2.4434632897434976
2020-01-03 21:00:00,0.0,0.0,-4.52734602394762
2020-01-03 22:00:00,0.0,0.0,-5.164231556020819
2020-01-03 23:00:00,0.0,0.01140687228136605,-5.072564648268953
2020-01-04 00:00:00,0.0,0.0,-4.795113003566394
2020-01-04 01:00:00,0.0,0.0,-5.2069702216510905
2020-01-04 02:00:00,0.0,0.00448820490330093,-3.046129096053489
2020-01-04 03:00:00,0.0,0.015452086689739408,-4.449622528858503
2020-01-04 04:00:00,0.34545074477374754,0.0,-2.271093912559137
2020-01-04 05:00:00,1.0363522343212426,0.01008330256655275,-1.6446184836569915
2020-01-04 06:00:00,0.34545074477374754,0.0,-2.1691886826847293
2020-01-04 07:00:00,0.0,0.0,0.2056869420000229
2020-01-04 08:00:00,0.0,0.027504743475192175,1.3793527824825924
2020-01-04 09:00:00,0.0,0.09959498846150713,0.812745824787454
2020-01-04 10:00:00,0.0,0.12750567121816545,1.5205327814604435
2020-01-04 11:00:00,0.0,0.12932542936149066,-0.8032226770509847
2020-01-04 12:00:00,0.0,0.13811365181170265,1.6416010745238752
2020-01-04 13:00:00,0.0,0.13440388421306212,2.0619542145291403
2020-01-04 14:00:00,0.0,0.07539657181893168,2.49165168621192
2020-01-04 15:00:00,0.0,0.10635303942260652,-0.26657423625261034
2020-01-04 16:00:00,0.0,0.05693373108132448,-0.22522981157102948
2020-01-04 17:00:00,0.20895868070907342,0.0352761727022783,0.04218172470244519
2020-01-04 18:00:00,0.6268760421272201,0.0,-2.629456420133995
2020-01-04 19:00:00,0.20895868070907342,0.018405054812638464,-2.077524818730934
2020-01-04 20:00:00,0.0,0.02005273240197841,-6.36549572530174
2020-01-04 21:00:00,0.0,0.03334952441161986,-3.460206610866624
2020-01-04 22:00:00,0.0,0.0,-6.175328126877363
2020-01-04 23:00:00,0.0,0.0,-6.50981186734545
2020-01-05 00:00:00,0.0,0.0,-5.263450291606663
